"0143","石岡酒造","いしおかしゅぞう","315-0031","7","茨城県石岡市大字東大橋２９７２ ","http://www.ishiokashuzo.co.jp","36.1927291","140.3055121","f"
"0144","石上酒造","いしがみしゅぞう","288-0065","11","千葉県銚子市田中町７-１","http://www.isbc.co.jp","35.7329459","140.8426225","t"
"0145","石川酒造（静岡）","いしかわしゅぞう","437-1613","21","静岡県御前崎市合戸１３１９","なし","34.6546939","138.0835638","t"
"0146","石川酒造（三重）","いしかわしゅぞう","512-1211","23","三重県四日市市桜町１２９ ","なし","34.9946274","136.5397498","t"
"0147","石川酒造（東京）","いしかわしゅぞう","197-0003","12","東京都福生市熊川１番地 ","http://www.tamajiman.com/","35.7192529","139.3325911","t"
"0149","石川酒造場（愛媛）","いしかわしゅぞうじょう","792-0852","37","愛媛県新居浜市東田２-１７０４ ","なし","33.9406422","133.3184273","t"
"0148","石川酒造場（沖縄）","いしかわしゅぞうじょう","903-0103","46","沖縄県中頭郡西原町字小那覇１４３８-１","http://www.kamejikomi.com/","26.2338047","127.7795199","f"
"0150","石蔵酒造","いしくらしゅぞう","812-0043","39","福岡県福岡市博多区堅粕１-３０-１ ","http://www.ishikura-shuzou.co.jp/","33.5988875","130.417689","t"
"0151","石越醸造","いしこしじょうぞう","989-4701","3","宮城県登米市石越町北郷中沢１３１-２","なし","38.7615624","141.1844654","f"
"0152","石塚酒造","いしづかしゅぞう","945-1502","14","新潟県柏崎市高柳町岡野町１８２０-２","http://park23.wakwak.com/~kameguchi/","37.2256798","138.6381793","t"
"0153","石鎚酒造","いしづちしゅぞう","793-0073","37","愛媛県西条市氷見丙４０２-３","http://www.ishizuchi.co.jp","33.8912013","133.1308627","t"
"0154","石野商店","いしのしょうてん","299-3251","11","千葉県山武郡大網白里町大網６４９ ","なし","35.5274881","140.3227345","t"
"0155","石橋酒造","いしばししゅぞう","691-0001","31","島根県出雲市平田町８３１-１ ","なし","35.4376453","132.821613","t"
"0156","石橋徳治","いしばしとくじ","965-0851","6","福島県会津若松市御旗町３-１８","なし","37.4917583","139.9116421","t"
"0157","石原酒造場","いしはらしゅぞうじょう","704-8117","32","岡山県岡山市東区西大寺南２-１０-３２ ","なし","34.6511906","134.0322434","t"
"0158","石本酒造","いしもとしゅぞう","950-0116","14","新潟県新潟市東区北山８４７-１","なし","37.8908636","139.1013535","f"
"0159","出石酒造","いずししゅぞう","668-0215","27","兵庫県豊岡市出石町魚屋１１４-１","なし","35.4632767","134.8758866","t"
"0160","伊豆本店","いずほんてん","811-4152","39","福岡県宗像市武丸１０６０","http://www.kamenoo.com/","33.8053853","130.6117129","t"
"0161","泉金酒造","いずみきんしゅぞう","027-0501","2","岩手県下閉伊郡岩泉町岩泉字太田３０番地","http://www.ginga.or.jp/~senkin/","39.8467055","141.7908509","f"
"0162","泉酒造","いずみしゅぞう","658-0044","27","兵庫県神戸市東灘区御影塚町１-９-６ ","なし","34.7097454","135.2499371","t"
"0163","泉橋酒造","いずみばししゅぞう","243-0435","13","神奈川県海老名市下今泉５-５-１","http://www.izumibashi.com","35.4658596","139.3901781","t"
"0164","泉勇之介商店","いずみゆうのすけしょうてん","658-0044","27","兵庫県神戸市東灘区御影塚町１-２-７","http://www.nadaizumi.co.jp","34.709226","135.251151","f"
"0165","伊是名酒造所","いぜなしゅぞうしょ","905-0604","46","沖縄県島尻郡伊是名村字伊是名７３６ ","なし","26.9165475","127.9341071","t"
"0166","伊勢萬","いせまん","516-0025","23","三重県伊勢市宇治中之切町７７番-２","http://www.iseman.co.jp/","34.4622567","136.7233877","t"
"0167","伊勢屋商店","いせやしょうてん","441-8019","22","愛知県豊橋市花田町字斉藤４９","なし","34.7662411","137.376348","t"
"0168","磯崎酒造","いそざきしゅぞう","100-1401","12","東京都八丈町大賀郷400","http://shimazake.com/kuramoto/isozaki.html","33.100974","139.777339","t"
"0169","磯自慢酒造","いそじまんしゅぞう","425-0032","21","静岡県焼津市鰯ヶ島３０７ ","http://www.isojiman-sake.jp/","34.8578908","138.3227921","f"
"0170","磯酒造","いそしゅぞう","309-1635","7","茨城県笠間市稲田２２８１-１","http://isokura.jp/home.html","36.3678779","140.2141683","t"
"0171","磯千鳥酒造","いそちどりしゅぞう","719-0302","32","岡山県浅口郡里庄町大字新庄３０６ ","http://www.isochidori.co.jp","34.5069464","133.5426611","t"
"0172","いそのさわ","いそのさわ","839-1404","39","福岡県うきは市浮羽町西隈上１-２","http://www.isonosawa.jp/","33.3341326","130.7910848","f"
"0173","板岡酒造場","いたおかしゅぞうじょう","731-0532","33","広島県安芸高田市吉田町上入江２５","なし","34.6302171","132.6381029","t"
"0174","板倉酒造","いたくらしゅぞう","693-0021","31","島根県出雲市塩冶町468 ","なし","35.3507146","132.7468994","t"
"0175","井田酒造","いだしゅぞう","370-1133","9","群馬県佐波郡玉村町大字上新田１６２６","なし","36.3038211","139.1081532","t"
"0176","板野酒造場","いたのしゅぞうじょう","701-1211","32","岡山県岡山市北区一宮３５","http://www.ginpoo.co.jp","34.678784","133.871233","t"
"0177","板野酒造本店","いたのしゅぞうほんてん","701-1462","32","岡山県岡山市北区大井２２７２","http://www10.ocn.ne.jp/~futamo/","34.7395712","133.8017721","t"
"0178","伊丹老松酒造","いたみおいまつしゅぞう","664-0846","27","兵庫県伊丹市伊丹３-１-５３","なし","34.7794012","135.4183454","t"
"0179","市島酒造","いちしましゅぞう","957-0055","14","新潟県新発田市諏訪町３丁目１番１７号 ","http://www.ichishima.jp/","37.9436922","139.3311867","f"
"0180","一ノ蔵","いちのくら","987-1393","3","宮城県大崎市松山千石字大欅14番地","http://www.ichinokura.co.jp","38.5019953","141.048708","f"
"0181","一宮酒造","いちのみやしゅぞう","694-0064","31","島根県大田市大田町大田ハ２７１-２ ","http://www.ichinomiya-s.jp/","35.194709","132.5065898","t"
"0182","市野屋商店","いちのやしょうてん","398-0002","19","長野県大町市大字大町２５２７-イ","http://www.ichinoya.com/","36.5059898","137.8591852","t"
"0183","一〇酒造","いちまるしゅぞう","758-0021","34","山口県萩市大字今古萩町５４ ","なし","34.4149539","131.4015429","t"
"0184","一本義久保本店","いっぽんぎくぼほんてん","911-8585","17","福井県勝山市沢町１-３-１ ","http://www.ippongi.co.jp","36.0631614","136.5002035","f"
"0185","井手酒造","いでしゅぞう","843-0301","40","佐賀県嬉野市嬉野町下宿乙８０６-１","http://www.toranoko.co.jp/","33.0970521","129.9865285","t"
"0186","井出醸造店","いでじょうぞうてん","401-0301","18","山梨県南都留郡富士河口湖町船津８","http://www.kainokaiun.jp/","35.5020634","138.7656577","t"
